,Model,Train Accuracy,CV Accuracy,Train Weighted F1,CV Weighted F1,CV Macro F1,Top-3 Accuracy,Accuracy Std,Weighted F1 Std,Macro F1 Std,Training Time
1,Gradient Boosting,0.40732133745844745,0.3740918923921051,0.3795621522627555,0.3445725670322597,0.25469452908569284,0.8593974487658791,0.0012561941712437524,0.0007231020536097665,0.001414674170063687,3439.15
2,XGBoost,0.40205819876740934,0.37727004026543487,0.369537988277973,0.3430740467244779,0.2520149965293439,0.859277998827921,0.0010232212020051925,0.0015438446717237738,0.002955790209140286,105.29
3,Logistic Regression,0.32405406445707385,0.3240558735883658,0.23348805720258756,0.23347894857903145,0.13232296402281132,0.8287307964194358,0.0006135351576057959,0.0009495310105383835,0.0006044674937508764,760.86
4,CatBoost,0.2779907409219922,0.270559354363752,0.2911914189969297,0.2838517293540802,0.2594007446325998,0.7720814722256495,0.0014908809234531607,0.0016803654660917475,0.00143414374240444,291.52
5,LightGBM,0.3098021428235224,0.2724162954776116,0.3228136070361005,0.2882891856843116,0.2522611792316859,0.7642555430791969,0.001283841760037245,0.0017289495439494157,0.0011491108244481118,167.25
6,Random Forest,0.38393312842884686,0.1948917809139606,0.39728515459598807,0.20841283454380793,0.16767866583867727,0.6679842557004015,0.0010685876242729727,0.0011608710179491256,0.0008322768374989892,164.72
7,Extra Trees,0.3578880115471158,0.1792978304288797,0.37252602265236584,0.1945915877553755,0.15936870590296084,0.6511233862886664,0.0011576425582984268,0.001103464219449814,0.001180217255780942,94.81
8,Decision Tree,0.34532109151319723,0.1871382418993373,0.3590861453340364,0.20207667148801414,0.16915412453439976,0.6414803327398533,0.0012630304274338744,0.0013435643548285901,0.001094820984087317,6.19
