iter	Accuracy	MultiClass
116	0.378754998	1.535630483
117	0.3792165873	1.534880407
118	0.3793737256	1.53419099
119	0.380099787	1.533402065
120	0.3801116538	1.53264362
121	0.3801756036	1.532047677
122	0.3805525158	1.531127356
123	0.3805996332	1.530184097
124	0.3803881621	1.529349398
125	0.3805164253	1.528833024
126	0.3805583564	1.527911446
127	0.3805803809	1.527256481
128	0.3808584792	1.52643024
129	0.3812287561	1.525835808
130	0.3812422505	1.524879685
131	0.3814225904	1.524034658
132	0.381645678	1.523713469
133	0.3815141572	1.523087193
134	0.3819551626	1.522034392
135	0.3820389893	1.521567465
136	0.3820469534	1.521522747
137	0.3824581142	1.520553617
138	0.3826668419	1.520119572
139	0.3827376447	1.519429424
140	0.3826810587	1.518919408
141	0.3828325997	1.518672892
142	0.3829169857	1.518292379
143	0.3833107836	1.517589377
144	0.3832173977	1.517160599
145	0.3833320037	1.51632899
146	0.3835294824	1.516270092
147	0.3835450329	1.516268249
148	0.383411391	1.51570892
149	0.3836670215	1.514894701
150	0.3837211585	1.514436855
151	0.3837865064	1.513389999
152	0.3838156312	1.513037321
153	0.3838092592	1.512725432
154	0.3839857617	1.512393038
155	0.383995786	1.511917835
156	0.384126684	1.511618259
157	0.3841782096	1.511026845
158	0.3842881142	1.510458837
159	0.3843937352	1.509773477
160	0.3844521118	1.509453062
161	0.3843981622	1.508829414
162	0.3846358254	1.508452699
163	0.3846073669	1.507845602
164	0.3845321585	1.507323954
165	0.3849260511	1.506872724
166	0.3847892554	1.506819634
167	0.3850784245	1.506178081
168	0.3853173108	1.505915691
169	0.3854444909	1.505532265
170	0.3854975838	1.505235087
171	0.3857237205	1.504738152
172	0.3859832325	1.504146965
173	0.3860961384	1.503767162
174	0.3862054205	1.503382752
175	0.3864528787	1.5027901
176	0.3863712579	1.502621908
177	0.3864480277	1.502197742
178	0.3864744866	1.501719454
179	0.3864556208	1.500996731
180	0.3866893972	1.500293775
181	0.3866037677	1.499956384
182	0.3869492853	1.499630397
183	0.3873973668	1.498872204
184	0.387450912	1.4984439
185	0.3877105852	1.497597854
186	0.3879694578	1.496964809
187	0.3880447891	1.496604887
188	0.3883518189	1.495953784
189	0.3885777709	1.495439791
190	0.3888934942	1.494821881
191	0.3890130875	1.494474337
192	0.3891918553	1.494089271
193	0.3892639866	1.493928214
194	0.3893164342	1.493459442
195	0.3893559183	1.493426235
196	0.3897210652	1.492736683
197	0.3897636606	1.492314479
198	0.3899100044	1.491808694
199	0.3898846961	1.491285662
200	0.3900013188	1.491244903
201	0.3902548184	1.490735349
202	0.3902488663	1.490461154
203	0.3904550831	1.489975537
204	0.3907061771	1.489443559
205	0.390952287	1.488754604
206	0.3909471533	1.488371599
207	0.3911396095	1.487881617
208	0.3910718646	1.487438944
209	0.3911707509	1.486980571
210	0.3913532971	1.486559108
211	0.3913687485	1.486042044
212	0.3915375017	1.485518776
213	0.3915464267	1.485085565
214	0.3916432937	1.484575541
215	0.3916377621	1.48452915
216	0.3917185588	1.483995381
217	0.3920537193	1.483691752
218	0.3920316606	1.483562534
219	0.3920659279	1.483106039
220	0.3920611033	1.482821818
221	0.3921662469	1.482428698
222	0.3922630049	1.482156219
223	0.3924346099	1.481752406
224	0.3927723511	1.481233518
225	0.3928557284	1.480622132
226	0.3929203498	1.480427624
227	0.3930474406	1.48006495
228	0.3932011594	1.479492768
229	0.3933558433	1.479107231
230	0.3933582437	1.478828555
231	0.3934350309	1.478602877
232	0.3936655487	1.478195286
233	0.3937921269	1.477861647
234	0.3937155746	1.477416712
235	0.393798783	1.477005352
236	0.394004626	1.47638302
237	0.3942598291	1.475966544
238	0.3942390742	1.475506789
239	0.3942018055	1.47516502
240	0.3942312445	1.474849459
241	0.3941736795	1.47453334
242	0.3942157756	1.47409058
243	0.3943053504	1.473835919
244	0.3942815733	1.473356417
245	0.3943958367	1.47285174
246	0.3944349023	1.472429021
247	0.3945361906	1.472013923
248	0.3946816192	1.471651551
249	0.394716103	1.471337121
250	0.3948003425	1.4711342
251	0.394816017	1.47092872
252	0.3948207944	1.470613822
253	0.3948174669	1.470409713
254	0.3948338989	1.469801392
255	0.3949416956	1.469251809
256	0.3949345582	1.468889841
257	0.3951795909	1.468495179
258	0.3951698446	1.46819816
259	0.3951866388	1.467949303
260	0.3952591378	1.467677201
261	0.3953070104	1.467310661
262	0.395415303	1.46674494
263	0.3954316122	1.466346469
264	0.3954277329	1.465883082
265	0.3955370171	1.465620042
266	0.3955095063	1.465342007
267	0.3956201179	1.465025276
268	0.3956903767	1.464806082
269	0.3956406238	1.464484974
270	0.3958001563	1.464233269
271	0.3957414153	1.463776695
272	0.3958480875	1.46335485
273	0.3959800988	1.463061562
274	0.3960134978	1.462799946
275	0.396001907	1.462587726
276	0.3960626586	1.462291019
277	0.3962843777	1.462025425
278	0.3963111991	1.461781724
279	0.396272274	1.461556615
280	0.3964823997	1.46121636
281	0.3965779291	1.461011192
282	0.3965536469	1.460511636
283	0.3965140218	1.460172345
284	0.3966717659	1.45997726
285	0.3967165053	1.459555413
286	0.3966303008	1.459159349
287	0.39685049	1.45875474
288	0.3969145738	1.458398894
289	0.3969471432	1.458046418
290	0.3969799786	1.457713405
291	0.3970400417	1.457195627
292	0.3970937175	1.456992119
293	0.3970825674	1.456746232
294	0.3971005021	1.456435757
295	0.3971802576	1.456102623
296	0.3971858661	1.455882093
297	0.3971980441	1.455644789
298	0.3972232848	1.455321928
299	0.3972357993	1.454972481
300	0.3973748021	1.454576665
301	0.3975093199	1.454204166
302	0.3975417129	1.453787323
303	0.397577349	1.453572845
304	0.3975095274	1.453315675
305	0.3975865152	1.453166961
306	0.3976162915	1.452921605
307	0.397644658	1.452742418
308	0.3977927697	1.452483561
309	0.3978896494	1.452260814
310	0.3980091037	1.452070535
311	0.3980256504	1.451778376
312	0.3981098131	1.451589696
313	0.3980478914	1.451359177
314	0.3980266832	1.451222207
315	0.3980559439	1.450916237
316	0.3982017163	1.450759312
317	0.3981826701	1.450508255
318	0.3982270951	1.450393094
319	0.3982587059	1.450140707
320	0.3983445205	1.449971253
321	0.3983306205	1.449728949
322	0.3983806079	1.449514119
323	0.398394671	1.449285602
324	0.398451176	1.449050856
325	0.3985284333	1.448788545
326	0.398690456	1.448576315
327	0.3987128774	1.448243362
328	0.3987878279	1.447957051
329	0.3987581853	1.447831183
330	0.3988131422	1.447635184
331	0.3988814261	1.447428432
332	0.3988489604	1.447173968
333	0.3989680916	1.446870292
334	0.3989995507	1.446605454
335	0.3991195037	1.446495744
336	0.3990620222	1.44634852
337	0.3991367013	1.446132138
338	0.3991819209	1.445884549
339	0.3992767183	1.445668986
340	0.3993390782	1.44539358
341	0.3993929224	1.445106985
342	0.3994884606	1.444791932
343	0.3995226531	1.444541014
344	0.3996375334	1.444376319
345	0.3996473627	1.444086304
346	0.3996893712	1.443823994
347	0.3998319487	1.443553235
348	0.3999148594	1.443275903
349	0.3998817548	1.443114384
350	0.3999486558	1.443009904
351	0.3999741645	1.442692131
352	0.4000606216	1.442443545
353	0.4001836868	1.442334346
354	0.400349215	1.44213257
355	0.4002597559	1.441998779
356	0.4004585631	1.441744385
357	0.400384792	1.441561159
358	0.4005567362	1.441352678
359	0.4007511018	1.441119978
360	0.4007657393	1.440794436
361	0.4008384729	1.440540506
362	0.4008610882	1.440418514
363	0.4008118773	1.440203659
364	0.4009842791	1.439960698
365	0.4011032895	1.439774204
366	0.4011783798	1.439547881
367	0.4011307603	1.439375049
368	0.4012910913	1.439124272
369	0.4012417664	1.439016329
370	0.401273927	1.438780358
371	0.4014564503	1.438559859
372	0.4014542021	1.438427844
373	0.4017414973	1.438144634
374	0.4018220975	1.43798678
375	0.4018483569	1.437699138
376	0.4018637351	1.43747542
377	0.402053292	1.437207632
378	0.4021013652	1.436992154
379	0.4020524122	1.436828216
380	0.4020687868	1.436735972
381	0.4021150984	1.4366356
382	0.4021157371	1.436516675
383	0.402246865	1.436387602
384	0.402208584	1.436285714
385	0.4022882251	1.436091465
386	0.4022092427	1.435968047
387	0.4023780814	1.435781479
388	0.4024338578	1.435525322
389	0.4025707617	1.435443412
390	0.4026480577	1.435228705
391	0.4026539714	1.435022806
392	0.4026683763	1.434820421
393	0.4027136174	1.434670832
394	0.4026952755	1.434525133
395	0.4027472988	1.43438311
396	0.4027185609	1.434229704
397	0.4028401857	1.433937201
398	0.4028521089	1.433783209
399	0.4029701602	1.433617811
