model,r2,mae,rmse,fit_time_mean_sec,cv_elapsed_sec
XGBRegressor,0.9716842827397606,0.15330956022660586,0.27816410314324236,1.6367701053619386,4.649681900002179
RandomForestRegressor,0.9610347018989567,0.1440036760149787,0.3259831821111203,81.5509771347046,85.94712900000013
ExtraTreesRegressor,0.9563375026143573,0.1424871674778258,0.34532876871640006,76.7295687675476,77.85869909999747
SVR_rbf,0.9444349723458785,0.19059265476290585,0.3893219217298932,20.912599182128908,29.211457999997947
GradientBoostingRegressor,0.877119494122349,0.4025151393160556,0.5793577993947788,5.111345863342285,5.2612205000041286
LinearRegression,0.7902502495543111,0.5058612259694651,0.7571210626592457,0.14626855850219728,2.789657699999225
DummyRegressor,-0.21022874055916546,1.1950039423292604,1.8192475698157131,0.043849945068359375,4.007791200005158
