model,accuracy,precision_macro,recall_macro,f1_macro,fit_time_mean_sec,cv_elapsed_sec
XGBClassifier,0.8522035549062578,0.8428717807301715,0.8522035549062578,0.8443517994266122,97.73068208694458,503.4823200000001
KNN,0.6769783296810323,0.6155139424848671,0.6769783296810324,0.6307762562505705,0.091517972946167,4.065004499999304
ExtraTreesClassifier,0.628317506695885,0.7341961382978109,0.628317506695885,0.5271096766063937,1.1958088397979736,8.937994500000059
RandomForestClassifier,0.4813854394935476,0.6757415813337425,0.4813854394935476,0.46215929502465763,5.9128927230834964,32.83082889999969
SVC_rbf,0.29402240077915753,0.16587328396090245,0.2940224007791576,0.19928947297965824,114.3296335697174,1310.7505734999995
LogisticRegression,0.17023374726077428,0.07395514376046888,0.17023374726077428,0.09981779603685535,8.995091438293457,45.13171379999949
DummyClassifier,0.009009009009009009,8.116224332440549e-05,0.009009009009009009,0.00016087516087516087,0.005600500106811524,0.11864609999975073
