,0
Production,0.2741758146237423
Area,0.1946646381339564
Season_Whole Year,0.1505377383569178
Crop_Potato,0.08283486936603773
Crop_Onion,0.037031395099436704
Fertilizer,0.02871730658511314
Crop_Tapioca,0.01873788159220109
Crop_Mesta,0.01694624798956714
Crop_Jute,0.016643651469226688
Crop_Sweet potato,0.01646621744465378
Crop_Ginger,0.014805884230485103
Crop_Rice,0.014226441511774717
Crop_Maize,0.01089358728901184
Crop_Year,0.01085119334229067
Annual_Rainfall,0.00881946426469151
Pesticide,0.008395787435920279
Crop_Sugarcane,0.008272007175375592
State_Puducherry,0.006075165725556378
State_Delhi,0.005709868983837248
State_Punjab,0.004988958253005457
